Artist_Name,Artist_ID
MEMBA,1375
YUNGBLUD,1376
Sangarang,1377
X Ambassadors,1378
Lil Uzi Vert,1379
Layto,1380
XYLØ,1381
Cosmo Sheldrake,1382
K CAMP,1383
Pham,1384
Joji,1385
A$AP Rocky,1386
Lil Skies,1387
Alexander Lewis,1388
girl in red,1389
Trevor Daniel,1390
French 79,1391
Four Tet,1392
Todd Terje,1393
The Divine Comedy,1394
The Cars,1395
New Order,1396
Llewellyn,1397
Shaun Cassidy,1398
Ludvig Forssell,1399
Isobel Campbell,1400
Discovery,1401
Britta Phillips,1402
Satin Jackets,1403
Lescop,1404
Run River North,1405
Freestyle,1406
Gorillaz,1407
Japan,1408
Lloyd Cole,1409
The Midnight,1410
Night Moves,1411
Jane Weaver,1412
Bryan Ferry,1413
The Books,1414
Charlotte Gainsbourg,1415
Gary Numan,1416
Jennifer Touch,1417
Baustelle,1418
Gunship,1419
Sid Luscious and The Pants,1420
Kraftwerk,1421
COMPUTER DATA,1422
Heaven 17,1423
Paradis,1424
Orchestral Manoeuvres In The Dark,1425
Chromatics,1426
Magic Sword,1427
Class Actress,1428
Yello,1429
Herbie Hancock,1430
Power Glove,1431
Phoenix,1432
Robag Wruhme,1433
Makeup And Vanity Set,1434
A Flock Of Seagulls,1435
Jóhann Jóhannsson,1436
Luscious-235,1437
Mitch Murder,1438
Josh Rouse,1439
Christine and the Queens,1440
Baxter Dury,1441
Carpenter Brut,1442
Perturbator,1443
Stars,1444
Sonic Mayhem,1445
Sébastien Tellier,1446
M|O|O|N,1447
Friendly Fires,1448
Lorn,1449
Com Truise,1450
Arcis,1451
Nightstop,1452
Lost Years,1453
Róisín Murphy,1454
Aphex Twin,1455
YELLOW MAGIC ORCHESTRA,1456
Goldfrapp,1457
Loom:ngs,1458
Ryuichi Sakamoto,1459
Simian Mobile Disco,1460
Laura Marling,1461
Soft Metals,1462
The Decemberists,1463
Paul Haslinger,1464
Hajk,1465
LCD Soundsystem,1466
Sebastian Ingrosso,1467
Alex Kenji,1468
Dirty South,1469
Claptone,1470
Vintage Culture,1471
U2,1472
Chris Brown,1473
Burak Yeter,1474
Belanova,1475
Mœnia,1476
Sentidos Opuestos,1477
Fey,1478
Byte,1479
Cesar Vilo,1480
Jotdog,1481
